타이타닉,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18847,9.41
아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,9.07
매트릭스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24452,9.40
반지의 제왕,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31794,9.30
어벤져스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72363,8.80
겨울왕국,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,9.13
트랜스포머,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61521,8.85
해리 포터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30688,9.36
다크나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,9.34
캐리비안의 해적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37148,9.07
